               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 168,              1.1216,             0.93911,              1.5825,             0.91968,             0.85881,             0.93318,             0.69458,                   0,                   0,                   0,            0.004489,            0.004489,            0.004489
                 169,              1.1045,               0.916,              1.5708,             0.90877,             0.87157,             0.92531,             0.68949,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                 170,               1.142,             0.98405,              1.6344,             0.87437,             0.89583,             0.89903,             0.66663,                   0,                   0,                   0,            0.004423,            0.004423,            0.004423
                 171,               1.118,             0.93033,                1.61,             0.93447,             0.85417,             0.93541,             0.70732,                   0,                   0,                   0,             0.00439,             0.00439,             0.00439
                 172,              1.1715,             0.90429,              1.5994,             0.93077,              0.8375,             0.91716,             0.68619,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                 173,              1.1245,             0.91393,               1.598,             0.88099,             0.89583,             0.90985,             0.67829,                   0,                   0,                   0,            0.004324,            0.004324,            0.004324
                 174,              1.1294,             0.91109,              1.5915,             0.92986,               0.825,             0.90705,             0.67413,                   0,                   0,                   0,            0.004291,            0.004291,            0.004291
                 175,              1.1712,             0.87714,              1.6538,             0.95689,             0.85417,              0.9468,             0.70853,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                 176,              1.1441,             0.90021,              1.6391,             0.94684,             0.89062,             0.94427,             0.70683,                   0,                   0,                   0,            0.004225,            0.004225,            0.004225
                 177,              1.0408,             0.80854,              1.5064,             0.94698,             0.89306,             0.94577,             0.70522,                   0,                   0,                   0,            0.004192,            0.004192,            0.004192
